pais,codigo,annio,costo_dieta_saludable_2017_usd_dia,continente
Santo Tomé y Príncipe,STP,2017,3.2009921,África
Arabia Saudita,SAU,2017,4.113231444,Asia
Senegal,SEN,2017,3.178888156,África
Serbia,SRB,2017,4.336531784,Europa
Seychelles,SYC,2017,3.840847424,África
Sierra Leona,SLE,2017,2.770219681,África
Singapur,SGP,2017,3.361207015,Asia
San Martín (Países Bajos),SXM,2017,4.795366429,América del Norte
Eslovaquia,SVK,2017,3.333447784,Europa
Eslovenia,SVN,2017,3.041276348,Europa
Sudáfrica,ZAF,2017,4.276109309,África
Korea del Sur,KOR,2017,4.860810844,Asia
España,ESP,2017,2.715095317,Europa
Sri Lanka,LKA,2017,4.050519973,Asia
Sudán,SDN,2017,4.232425264,África
Surinam,SUR,2017,5.129114155,América del Sur
Suecia,SWE,2017,2.889616398,Europa
Suiza,CHE,2017,2.45778473,Europa
Taiwán,TWN,2017,5.045165569,Asia
Tayikistán,TJK,2017,3.217305785,Asia
Tanzania,TZA,2017,2.670800338,África
Tailandia,THA,2017,5.012801356,Asia
Togo,TGO,2017,6.206968342,África
Trinidad y Tobago,TTO,2017,4.08868259,América del Norte
Túnez,TUN,2017,3.447835621,África
Turquía,TUR,2017,3.440223518,Asia
Islas Turcas y Caicos,TCA,2017,3.492283549,América del Norte
Uganda,UGA,2017,3.000061375,África
Emiratos Árabes Unidos,ARE,2017,3.412668665,Asia
Reino Unido,GBR,2017,1.887692082,Europa
Estados Unidos,USA,2017,2.974152331,América del Norte
Uruguay,URY,2017,2.961332191,América del Sur
Vietnam,VNM,2017,4.306775634,Asia
Zambia,ZMB,2017,3.306079267,África
Zimbawe,ZWE,2017,3.967124844,África
